Data,venda,venda_1D,venda_2D,venda_3D,venda_4D,aluguel,aluguel_1D,aluguel_2D,aluguel_3D,aluguel_4D
ago/13,"7,348","8,405","6,629","7,127","8,762","35,3","42,7","32,6","31,3",39
set/13,"7,435","8,547","6,706","7,195","8,81","35,4",43,"32,7","31,4","39,2"
out/13,"7,525","8,687","6,79","7,266","8,857","35,6","43,3","32,7","31,5","40,2"
nov/13,"7,623","8,84","6,878","7,34","8,933","35,9","43,6",33,"31,7",41
dez/13,"7,706","8,958","6,957","7,403","9,01","36,3","44,3","33,3","31,7","41,8"
jan/14,"7,764","9,039","7,001","7,455","9,091","36,4","44,7","33,4","31,8","41,6"
fev/14,"7,812","9,091","7,045","7,504","9,142","36,5","44,7","33,4","31,9","41,3"
mar/14,"7,867","9,141","7,09","7,568","9,236","36,5","44,4","33,5","32,1","41,4"
abr/14,"7,926","9,179","7,151","7,64","9,303","36,6","44,3","33,7","32,2","41,4"
mai/14,"7,983","9,214","7,207","7,71","9,375","36,6","44,6","33,6","32,4",41
jun/14,"8,046","9,279","7,271","7,774","9,424","36,7","44,9","33,7","32,5","40,2"
jul/14,"8,107","9,358","7,328","7,822","9,497","36,8","45,3","33,7","32,5","39,9"
ago/14,"8,165","9,449","7,377","7,862","9,559","36,8","45,4","33,7","32,6","40,5"
set/14,"8,197","9,481","7,411","7,898","9,573","36,7","45,4","33,4","32,5","40,6"
out/14,"8,222","9,49","7,434","7,939","9,592","36,7","45,4","33,3","32,5","40,9"
nov/14,"8,243","9,48","7,464","7,981","9,581","36,7","45,7","33,3","32,5","40,3"
dez/14,"8,272","9,508","7,486","8,02","9,608","36,9","46,2","33,3","32,6","40,2"
jan/15,"8,309","9,57","7,512","8,055","9,647",37,"46,6","33,4","32,7","39,8"
fev/15,"8,355","9,655","7,536","8,096","9,72","37,2","46,8","33,7","32,8","40,1"
mar/15,"8,399","9,727","7,571","8,131","9,761","37,3",47,"33,8","32,8","40,2"
abr/15,"8,431","9,757","7,6","8,172","9,772","37,3",47,"33,9","32,7","40,3"
mai/15,"8,445","9,742","7,626","8,194","9,781","37,2",47,"33,7","32,5",40
jun/15,"8,453","9,71","7,635","8,221","9,837","36,9","46,7","33,5","32,3","39,7"
jul/15,"8,462","9,687","7,646","8,228","9,936","36,6","46,4","33,3","31,8","39,5"
ago/15,"8,468","9,648","7,654","8,241","10,032","36,4","46,1","33,1","31,6","39,2"
set/15,"8,474","9,636","7,662","8,25","10,086","36,2","45,6","32,9","31,4","39,1"
out/15,"8,477","9,633","7,664","8,26","10,087",36,"45,2","32,8","31,4","38,9"
nov/15,"8,471","9,613","7,648","8,276","10,092","35,7","44,7","32,5","31,3","38,7"
dez/15,"8,479","9,647","7,642","8,285","10,102","35,5","44,5","32,3","31,2","38,4"
jan/16,"8,48","9,673","7,621","8,299","10,109","35,3","44,4","32,1",31,"38,1"
fev/16,"8,489","9,724","7,617","8,306","10,066","35,3","44,3","32,1","30,9","38,2"
mar/16,"8,49","9,722","7,617","8,315","10,057","35,4","44,4","32,1","30,9","38,5"
abr/16,"8,495","9,714","7,626","8,322","10,071","35,4","44,7","32,1","30,9","38,7"
mai/16,"8,506","9,728","7,632","8,326","10,123","35,3","44,9","31,9","30,8","38,5"
jun/16,"8,502","9,712","7,627","8,335","10,121","35,2",45,"31,7","30,6","38,2"
jul/16,"8,498","9,694","7,619","8,337","10,162","35,1","44,9","31,6","30,5",38
ago/16,"8,486","9,638","7,609","8,348","10,187",35,"44,7","31,7","30,3","37,8"
set/16,"8,485","9,612","7,609","8,359","10,223","34,9","44,6","31,7","30,2","37,5"
out/16,"8,495","9,615","7,619","8,379","10,216","34,9","44,5","31,6","30,2","37,3"
nov/16,"8,501","9,617","7,629","8,382","10,223","34,8","44,4","31,5","30,3","37,4"
dez/16,"8,513","9,633","7,637","8,395","10,242","34,9","44,6","31,5","30,4","37,4"
jan/17,"8,514","9,636","7,634","8,397","10,252",35,"44,9","31,5","30,5","37,4"
fev/17,"8,53","9,676","7,635","8,412","10,277","35,1","45,3","31,5","30,6","37,3"
mar/17,"8,545","9,703","7,638","8,426","10,334","35,2","45,6","31,6","30,6","37,4"
abr/17,"8,568","9,742","7,642","8,448","10,419","35,4","45,9","31,7","30,6","37,6"
mai/17,"8,571","9,732","7,639","8,462","10,462","35,6","46,3","31,9","30,7","37,9"
jun/17,"8,569","9,703","7,639","8,467","10,5","35,8","46,5","32,1","30,7","38,4"
jul/17,"8,568","9,674","7,64","8,476","10,55","35,8","46,4","32,1","30,9","38,6"
ago/17,"8,584","9,691","7,648","8,49","10,619","35,7","46,2",32,"30,8","38,5"
set/17,"8,602","9,724","7,657","8,494","10,689","35,6","46,3","31,9","30,8","38,4"
out/17,"8,616","9,764","7,668","8,494","10,688","35,5","46,3","31,8","30,6","38,2"
nov/17,"8,624","9,779","7,677","8,494","10,698","35,6","46,4","31,8","30,6","38,1"
dez/17,"8,633","9,806","7,68","8,499","10,692","35,7","46,6","31,9","30,7","38,1"
jan/18,"8,647","9,835","7,692","8,506","10,699","35,9","47,1","32,2","30,8","37,9"
fev/18,"8,662","9,853","7,71","8,515","10,715","36,2","47,8","32,5","30,9","37,9"
mar/18,"8,677","9,86","7,724","8,531","10,75","36,5","48,2","32,7","31,1","37,9"
abr/18,"8,693","9,871","7,736","8,555","10,78","36,7","48,4","32,9","31,2",38
mai/18,"8,714","9,901","7,751","8,576","10,803","36,7","48,5","32,9","31,3",38
jun/18,"8,732","9,923","7,774","8,589","10,805","36,8","48,5","33,1","31,3",38
jul/18,"8,755","9,947","7,805","8,602","10,809",37,"48,8","33,3","31,3","37,9"
ago/18,"8,754","9,945","7,808","8,6","10,794","37,1","48,9","33,5","31,4","37,9"
set/18,"8,765","9,958","7,821","8,603","10,811",37,"49,2","33,5","31,1","36,8"
out/18,"8,756","9,934","7,813","8,601","10,821","36,9","49,6","33,4",31,"35,6"
nov/18,"8,769","9,923","7,832","8,624","10,847","36,9",50,"33,3","30,9","34,6"
dez/18,"8,787","9,933","7,848","8,649","10,877","37,1","50,6","33,4",31,"34,7"
jan/19,"8,814","9,952","7,877","8,673","10,931","37,4","51,2","33,6","31,2","34,8"
fev/19,"8,837","9,979","7,9","8,692","10,958","37,7","51,9","33,9","31,4","34,7"
mar/19,"8,855","9,995","7,919","8,713","10,962",38,"52,2","34,1","31,7","34,7"
abr/19,"8,874","10,039","7,933","8,725","10,946","38,3","52,4","34,5",32,"34,7"
mai/19,"8,889","10,084","7,948","8,728","10,91","38,5","52,6","34,8","32,2","34,7"
jun/19,"8,91","10,139","7,966","8,732","10,891","38,9","53,1","35,1","32,5","34,9"
jul/19,"8,927","10,171","7,979","8,744","10,9","39,2","53,5","35,3","32,8","35,3"
ago/19,"8,953","10,215","7,99","8,768","10,953","39,4","53,6","35,6","33,1","35,5"
set/19,"8,939","10,19","7,981","8,765","10,918","39,7",54,"35,9","33,3","35,7"
out/19,"8,94","10,163","7,994","8,773","10,916","39,8","54,4",36,"33,2","35,6"
nov/19,"8,965","10,185","8,025","8,791","10,936","39,8","54,4","36,1","33,2","35,6"
dez/19,"8,986","10,207","8,049","8,793","10,999","39,9","54,3","36,3","33,4","35,7"
jan/20,"9,016","10,247","8,074","8,813","11,058","40,1","54,2","36,5","33,5","35,7"
fev/20,"9,029","10,258","8,087","8,826","11,089","40,3","54,4","36,8","33,8",36
mar/20,"9,056","10,293","8,112","8,841","11,134","40,8","55,3","37,3","34,1","36,5"
abr/20,"9,075","10,32","8,132","8,848","11,171","41,4","56,2","37,8","34,4","36,9"
mai/20,"9,101","10,37","8,157","8,859","11,182","41,7","56,6","38,1","34,6","37,1"
jun/20,"9,129","10,454","8,166","8,859","11,225","41,6","56,4","37,9","34,6","37,2"
jul/20,"9,163","10,532","8,189","8,87","11,266","41,2",56,"37,4","34,4","37,4"
ago/20,"9,206","10,611","8,22","8,9","11,3","40,9","55,6","36,9","34,3","37,9"
set/20,"9,239","10,623","8,263","8,948","11,281","40,7","55,1","36,6","34,2","38,1"
out/20,"9,262","10,612","8,3","8,986","11,28","40,5","54,6","36,5","34,2","38,3"
nov/20,"9,291","10,609","8,341","9,027","11,313","40,4","54,3","36,5","34,1","38,3"
dez/20,"9,326","10,64","8,382","9,049","11,369","40,4","54,3","36,5","34,1","38,2"
jan/21,"9,368","10,716","8,402","9,084","11,462","40,3",54,"36,4","34,1",38
fev/21,"9,406","10,774","8,412","9,116","11,608","40,1","53,6","36,3","34,1",38
mar/21,"9,442","10,848","8,412","9,155","11,716",40,"53,2","36,2","34,1",38
abr/21,"9,466","10,899","8,42","9,177","11,757","39,9",53,"36,1","34,1","38,2"
mai/21,"9,494","10,967","8,432","9,196","11,763","39,8","52,5","36,1","34,2","38,2"
jun/21,"9,531","11,024","8,464","9,23","11,781","39,6","51,8",36,"34,1","38,3"
jul/21,"9,572","11,08","8,497","9,271","11,799","39,5","51,3",36,"34,1","38,4"
ago/21,"9,605","11,126","8,525","9,306","11,818","39,4","51,1",36,"34,2","38,5"
set/21,"9,624","11,159","8,538","9,319","11,85","39,5","51,2",36,"34,3","38,6"
out/21,"9,642","11,178","8,552","9,336","11,891","39,6","51,4","36,1","34,4","38,7"
nov/21,"9,676","11,214","8,591","9,357","11,932","39,8","51,6","36,2","34,6","38,9"
dez/21,"9,711","11,253","8,625","9,383","11,989",40,"51,9","36,4","34,9","39,2"
jan/22,"9,757","11,299","8,667","9,42","12,091","40,2","52,1","36,5","35,2","39,3"
fev/22,"9,793","11,327","8,691","9,466","12,201","40,6","52,4","36,8","35,7","39,6"
mar/22,"9,837","11,355","8,73","9,526","12,273",41,"52,9","37,2","36,2",40
abr/22,"9,888","11,416","8,775","9,583","12,29","41,7","53,6","37,8","36,8","40,5"
mai/22,"9,919","11,476","8,812","9,599","12,24","42,4","54,5","38,7","37,4","40,8"
jun/22,"9,942","11,534","8,841","9,603","12,182","43,2","55,4","39,7","37,9","40,8"
jul/22,"9,952","11,586","8,857","9,587","12,101","43,9","56,2","40,6","38,2","40,8"
ago/22,"9,997","11,676","8,893","9,617","12,109","44,4","56,8","41,3","38,6","40,7"
set/22,"10,061","11,781","8,942","9,667","12,166","44,8","57,5","41,7","38,9","40,6"
out/22,"10,135","11,887","8,99","9,744","12,268","45,2","58,2",42,"39,3","40,5"
